id,last_page,gender,age,main_mode,travel_time,priv_avail,carpool_avail,walk_avail,transit_avail,taxi_avail,moto_avail,no_second_mode,status,yr_stud,yr_emp,st_drive,st_drive_gen,st_pass,st_pass_gen,st_n_pass,st_n pass_gen,emp_drive,emp_drive_gen,emp_pass,emp_pass_gen,S1,S2,S3,S4,CHOICE1,CHOICE2,CHOICE3,CHOICE4
609,13,2,70,1,30,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,1,5,1,5,1,5,1,5,1,3,1,3
611,13,1,24,1,7,1,0,1,0,0,0,0,1,5,-1,2,4,3,3,-1,-1,-1,-1,-1,-1,2,4,3,3,1,3,2,2
612,13,4,18,1,35,1,0,0,0,0,0,1,1,1,-1,4,1,1,5,-1,-1,-1,-1,-1,-1,4,1,1,5,3,1,1,3
613,13,1,24,1,50,1,0,1,0,0,0,0,2,6,-1,2,2,4,2,-1,-1,-1,-1,-1,-1,2,2,4,2,1,1,3,1
615,13,2,23,1,50,1,0,0,0,0,0,1,1,6,-1,4,5,4,5,-1,-1,-1,-1,-1,-1,4,5,4,5,3,3,3,3
619,13,1,28,1,5,1,0,0,0,0,0,1,2,1,-1,5,3,4,5,-1,-1,-1,-1,-1,-1,5,3,4,5,3,2,3,3
620,13,1,18,1,5,1,1,0,0,0,0,0,1,1,-1,1,1,3,3,-1,-1,-1,-1,-1,-1,1,1,3,3,1,1,2,2
621,13,1,18,2,35,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,3,4,-1,-1,2,3
622,13,1,19,1,180,1,0,1,0,0,0,0,1,2,-1,4,3,3,3,-1,-1,-1,-1,-1,-1,4,3,3,3,3,2,2,2
626,13,2,17,1,35,1,0,0,0,0,0,1,1,1,-1,3,4,2,4,-1,-1,-1,-1,-1,-1,3,4,2,4,2,3,1,3
627,13,2,27,1,50,1,0,0,0,0,0,0,2,6,-1,4,3,4,3,-1,-1,-1,-1,-1,-1,4,3,4,3,3,2,3,2
628,13,1,23,1,5,1,1,0,0,0,0,0,1,6,-1,1,1,1,5,-1,-1,-1,-1,-1,-1,1,1,1,5,1,1,1,3
629,13,2,21,1,50,1,0,0,0,0,0,1,1,4,-1,2,2,3,3,-1,-1,-1,-1,-1,-1,2,2,3,3,1,1,2,2
630,13,2,53,1,30,1,1,0,0,0,0,0,4,-1,4,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,3,3,2,2,2,2
631,13,2,23,4,15,1,1,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
632,13,1,23,4,10,1,1,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
634,13,2,63,1,30,1,1,0,0,0,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
635,13,2,47,1,35,1,0,0,0,0,0,1,3,-1,1,-1,-1,-1,-1,-1,-1,5,1,5,5,5,1,5,5,3,1,3,3
637,13,1,59,1,35,1,0,0,0,0,0,1,3,-1,4,-1,-1,-1,-1,-1,-1,3,4,3,1,3,4,3,1,2,3,2,1
638,13,1,51,1,30,1,0,0,0,0,0,1,3,-1,4,-1,-1,-1,-1,-1,-1,1,3,1,4,1,3,1,4,1,2,1,3
639,13,1,47,1,10,1,1,0,0,0,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,5,5,3,3,3,3
641,13,1,22,1,15,1,0,0,0,1,0,0,1,5,-1,2,3,2,4,-1,-1,-1,-1,-1,-1,2,3,2,4,1,2,1,3
642,13,2,24,1,8,1,0,0,0,0,0,1,1,6,-1,2,5,2,5,-1,-1,-1,-1,-1,-1,2,5,2,5,1,3,1,3
643,7,4,25,2,40,0,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
644,13,2,19,1,5,1,0,1,0,0,0,0,1,2,-1,2,4,2,4,-1,-1,-1,-1,-1,-1,2,4,2,4,1,3,1,3
645,13,2,55,1,15,1,0,0,0,0,0,0,1,1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,2,2,2,2
646,13,1,22,1,40,1,0,0,0,0,0,1,1,5,-1,5,2,4,2,-1,-1,-1,-1,-1,-1,5,2,4,2,3,1,3,1
647,13,1,33,1,10,1,0,0,0,0,0,1,2,2,-1,2,4,1,4,-1,-1,-1,-1,-1,-1,2,4,1,4,1,3,1,3
648,13,2,20,4,15,0,0,1,0,0,0,0,1,3,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
649,13,2,19,4,6,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
650,13,2,19,4,6,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
651,13,1,45,1,55,1,0,0,0,0,0,1,4,-1,2,-1,-1,-1,-1,-1,-1,4,3,4,3,4,3,4,3,3,2,3,2
